id,time,Valence,Arousal,Dominance,emotion,Found Words,Sadness,Joy,Trust,Fear,Surprise,Anticipation,Anger,Disgust
12,2022-07-07T15:19:30.000Z,6.27,3.975,5.75,Sadness,"['feel', 'see']",0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03
14,2022-05-09T18:32:52.000Z,4.8566666666666665,4.8133333333333335,4.16,Anticipation,"['neg-wait', 'neg-win', 'get']",0.05,0.05,0.05,0.05,0.05,0.54,0.05,0.05
15,2022-05-03T15:32:52.000Z,5.872000000000001,3.932,5.944,Surprise,"['happy', 'announce', 'back', 'symposium', 'year']",0.04,0.04,0.04,0.04,0.65,0.04,0.04,0.04
16,2022-04-20T22:51:59.000Z,7.2975,4.3525,5.825,Joy,"['sunny', 'pleasant', 'spring', 'day']",0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01
17,2022-04-12T01:09:12.000Z,5.793333333333332,3.87,5.076666666666667,Joy,"['time', 'start', 'tweet']",0.04,0.64,0.04,0.04,0.04,0.04,0.04,0.04
18,2022-03-28T22:54:47.000Z,6.94,4.05,5.96,Trust,['congrats'],0.02,0.02,0.77,0.02,0.02,0.02,0.02,0.02
19,2022-03-25T01:31:15.000Z,5.6,4.005,5.18,Surprise,"['woo', 'pig']",0.04,0.04,0.04,0.04,0.62,0.04,0.04,0.04
20,2022-03-14T00:06:50.000Z,5.91,4.1,5.83,Trust,['show'],0.03,0.03,0.66,0.03,0.03,0.03,0.03,0.03
21,2022-01-27T16:04:43.000Z,6.27,3.975,5.75,Sadness,"['feel', 'see']",0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03
22,2022-01-01T19:11:54.000Z,6.806666666666668,4.496666666666667,6.126666666666668,Surprise,"['sound', 'like', 'improvement']",0.02,0.02,0.02,0.02,0.76,0.02,0.02,0.02
23,2021-11-02T01:19:48.000Z,6.6,3.466666666666667,5.9833333333333325,Trust,"['one', 'reason', 'like']",0.02,0.02,0.73,0.02,0.02,0.02,0.02,0.02
24,2021-10-27T15:45:19.000Z,5.836,3.7039999999999997,5.706,Fear,"['start', 'paper', 'session', 'privacy', 'chair']",0.04,0.04,0.04,0.65,0.04,0.04,0.04,0.04
25,2021-10-27T04:21:43.000Z,5.41,4.4475,5.195,Trust,"['neg-miss', 'paper', 'paper', 'presentation']",0.04,0.04,0.6,0.04,0.04,0.04,0.04,0.04
27,2021-09-13T03:47:56.000Z,7.1750000000000025,4.3100000000000005,6.1,Joy,"['congrats', 'buddy']",0.01,0.8,0.01,0.01,0.01,0.01,0.01,0.01
28,2021-09-12T00:52:36.000Z,5.91,4.43,6.88,Surprise,['say'],0.03,0.03,0.03,0.03,0.66,0.03,0.03,0.03
29,2021-06-04T20:38:10.000Z,7.01,3.933333333333333,6.176666666666668,Surprise,"['great', 'good', 'catch']",0.02,0.02,0.02,0.02,0.78,0.02,0.02,0.02
30,2021-05-11T01:15:19.000Z,7.55,6.9,5.65,Trust,['exotic'],0.01,0.01,0.84,0.01,0.01,0.01,0.01,0.01
31,2021-02-05T23:31:25.000Z,4.871666666666666,4.7316666666666665,5.5233333333333325,Trust,"['invite', 'submit', 'work', 'power', 'deep', 'deadline']",0.05,0.05,0.54,0.05,0.05,0.05,0.05,0.05
32,2021-01-01T21:01:30.000Z,5.73,3.8225,5.3875,Joy,"['time', 'get', 'back', 'active']",0.04,0.64,0.04,0.04,0.04,0.04,0.04,0.04
34,2020-12-05T13:57:40.000Z,5.682,4.15,5.598,Trust,"['welcome', 'submit', 'special', 'issue', 'amp']",0.04,0.04,0.63,0.04,0.04,0.04,0.04,0.04
35,2020-11-29T17:27:44.000Z,5.7,5.05,6.19,Trust,['tactic'],0.04,0.04,0.63,0.04,0.04,0.04,0.04,0.04
36,2020-11-01T18:31:01.000Z,6.244,4.142,5.6160000000000005,Joy,"['neighbor', 'christmas', 'light', 'move', 'year']",0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03
37,2020-11-01T17:23:13.000Z,5.5771428571428565,3.937142857142857,5.784285714285715,Sadness,"['prefer', 'person', 'nice', 'get', 'hang', 'dude', 'week']",0.62,0.04,0.04,0.04,0.04,0.04,0.04,0.04
38,2020-11-01T17:18:48.000Z,6.39875,3.84125,6.09375,Trust,"['agree', 'love', 'idea', 'make', 'conference', 'accessible', 'people', 'attend']",0.03,0.03,0.71,0.03,0.03,0.03,0.03,0.03
40,2020-10-28T16:48:57.000Z,5.500909090909091,3.5590909090909086,5.891818181818183,Joy,"['year', 'paper', 'include', 'user', 'study', 'classify', 'participant', 'attitude', 'personal', 'privacy', 'do']",0.04,0.61,0.04,0.04,0.04,0.04,0.04,0.04
41,2020-10-27T17:24:42.000Z,5.1,3.47,6.19,Trust,['stem'],0.05,0.05,0.57,0.05,0.05,0.05,0.05,0.05
43,2020-10-25T18:34:55.000Z,6.5139999999999985,3.912,6.516,Joy,"['different', 'experience', 'year', 'enjoy', 'workshop']",0.03,0.72,0.03,0.03,0.03,0.03,0.03,0.03
44,2020-10-21T18:43:43.000Z,5.7700000000000005,4.1,5.747999999999998,Surprise,"['realize', 'quarantine', 'hair', 'look', 'like']",0.04,0.04,0.04,0.04,0.64,0.04,0.04,0.04
46,2020-10-15T00:40:21.000Z,5.707142857142857,4.181428571428572,5.69142857142857,Fear,"['program', 'excite', 'keynote', 'speaker', 'paper', 'poster', 'presentation']",0.04,0.04,0.04,0.63,0.04,0.04,0.04,0.04
47,2020-09-15T00:35:05.000Z,5.15,3.1066666666666665,5.036666666666667,Joy,"['replace', 'code', 'copy']",0.05,0.57,0.05,0.05,0.05,0.05,0.05,0.05
48,2020-08-20T17:16:22.000Z,6.39625,3.96625,5.6625000000000005,Joy,"['welcome', 'fall', 'sun', 'sure', 'semester', 'think', 'great', 'story']",0.03,0.71,0.03,0.03,0.03,0.03,0.03,0.03
49,2020-07-11T16:38:26.000Z,4.885,4.34,5.135,Anticipation,"['hop', 'deadline', 'submission', 'extend']",0.05,0.05,0.05,0.05,0.05,0.54,0.05,0.05
50,2020-07-08T04:14:40.000Z,6.3585714285714285,4.234285714285714,6.0285714285714285,Trust,"['student', 'check', 'email', 'important', 'message', 'want', 'reassure']",0.03,0.03,0.71,0.03,0.03,0.03,0.03,0.03
51,2018-08-30T04:44:13.000Z,5.8775,4.69,5.93375,Sadness,"['rise', 'save', 'horse', 'donkey', 'casino', 'planet', 'neg-slave', 'neg-child']",0.65,0.04,0.04,0.04,0.04,0.04,0.04,0.04
52,2016-11-24T15:13:56.000Z,5.11,4.77,5.6975,Joy,"['happy', 'thanksgiving', 'hater', 'loser']",0.05,0.57,0.05,0.05,0.05,0.05,0.05,0.05
53,2016-10-18T14:35:41.000Z,6.5975,3.65,5.94,Trust,"['good', 'make', 'excuse', 'good']",0.02,0.02,0.73,0.02,0.02,0.02,0.02,0.02
54,2016-07-19T19:00:16.000Z,5.46,4.13,5.35,Joy,"['lord', 'trend']",0.04,0.61,0.04,0.04,0.04,0.04,0.04,0.04
55,2016-06-27T02:58:27.000Z,5.295,3.64,6.105,Joy,"['morning', 'trump']",0.04,0.59,0.04,0.04,0.04,0.04,0.04,0.04
56,2016-02-26T23:58:35.000Z,5.352,4.174,5.032,Fear,"['run', 'state', 'troubled', 'spend', 'time']",0.04,0.04,0.04,0.59,0.04,0.04,0.04,0.04
58,2015-09-02T05:33:03.000Z,5.93,4.225,6.205,Trust,"['convert', 'speech', 'stand', 'amazing']",0.03,0.03,0.66,0.03,0.03,0.03,0.03,0.03
59,2013-01-05T02:22:32.000Z,5.5075,4.595,5.15,Sadness,"['neg-get', 'football', 'department', 'see']",0.61,0.04,0.04,0.04,0.04,0.04,0.04,0.04
60,2013-01-05T01:52:12.000Z,6.85,4.45,7.05,Surprise,['recipe'],0.02,0.02,0.02,0.02,0.76,0.02,0.02,0.02
61,2013-01-05T01:46:53.000Z,6.45,3.978,5.464,Trust,"['love', 'profound', 'thing', 'tweet', 'night']",0.03,0.03,0.72,0.03,0.03,0.03,0.03,0.03
62,2013-01-04T23:17:04.000Z,6.087999999999999,3.866,5.7,Anger,"['first', 'read', 'back', 'lifestyle', 'short']",0.03,0.03,0.03,0.03,0.03,0.03,0.68,0.03
63,2013-01-04T02:44:02.000Z,6.386666666666668,4.54,5.41,Trust,"['coach', 'speak', 'passion']",0.03,0.03,0.71,0.03,0.03,0.03,0.03,0.03
64,2013-01-04T01:20:55.000Z,6.40625,4.12875,6.23875,Surprise,"['key', 'sing', 'fiesta', 'bowl', 'national', 'anthem', 'get', 'silver']",0.03,0.03,0.03,0.03,0.71,0.03,0.03,0.03
67,2013-01-03T03:11:04.000Z,6.354,3.6319999999999997,6.4220000000000015,Trust,"['band', 'member', 'hat', 'kind', 'show']",0.03,0.03,0.71,0.03,0.03,0.03,0.03,0.03
68,2013-01-02T21:19:28.000Z,6.0488888888888885,4.144444444444445,5.362222222222221,Joy,"['awesome', 'picture', 'baby', 'reach', 'womb', 'amp', 'grab', 'doc', 'finger']",0.03,0.67,0.03,0.03,0.03,0.03,0.03,0.03
69,2013-01-02T20:59:04.000Z,5.63,4.656666666666666,5.496666666666667,Surprise,"['look', 'like', 'neg-drive']",0.04,0.04,0.04,0.04,0.63,0.04,0.04,0.04
70,2013-01-02T16:38:13.000Z,5.445,3.525,6.205,Surprise,"['round', 'project']",0.04,0.04,0.04,0.04,0.6,0.04,0.04,0.04
71,2013-01-02T15:47:57.000Z,6.486666666666666,3.44,5.58,Surprise,"['good', 'two', 'week']",0.03,0.03,0.03,0.03,0.72,0.03,0.03,0.03
72,2013-01-02T06:00:40.000Z,5.5675,5.0075,5.5275,Trust,"['neg-worry', 'neg-list', 'buy', 'crap']",0.04,0.04,0.62,0.04,0.04,0.04,0.04,0.04
73,2013-01-02T04:39:26.000Z,6.235,4.105,5.975,Trust,"['milk', 'nipple']",0.03,0.03,0.69,0.03,0.03,0.03,0.03,0.03
74,2013-01-02T03:22:10.000Z,7.02,4.4350000000000005,5.68,Trust,"['woman', 'heart']",0.02,0.02,0.78,0.02,0.02,0.02,0.02,0.02
76,2013-01-01T04:29:23.000Z,5.783333333333332,4.056666666666667,5.716666666666668,Joy,"['game', 'awesome', 'make', 'realize', 'mile', 'would', 'terrible', 'coach', 'choice']",0.04,0.64,0.04,0.04,0.04,0.04,0.04,0.04
77,2013-01-01T04:25:20.000Z,6.6355555555555545,4.331111111111111,6.005555555555557,Joy,"['tote', 'welcome', 'month', 'year', 'amazing', 'super', 'bless', 'people', 'love']",0.02,0.74,0.02,0.02,0.02,0.02,0.02,0.02
78,2012-12-31T22:14:48.000Z,7.86,6.05,7.11,Joy,['awesome'],0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0
79,2012-12-31T20:05:06.000Z,6.4925,4.3575,5.6875,Surprise,"['discount', 'double', 'check', 'awesome']",0.03,0.03,0.03,0.03,0.72,0.03,0.03,0.03
80,2012-12-31T17:57:14.000Z,5.975,3.595,5.24,Trust,"['get', 'stuff']",0.03,0.03,0.66,0.03,0.03,0.03,0.03,0.03
82,2012-12-31T17:27:59.000Z,6.66125,4.56875,5.92375,Surprise,"['good', 'thing', 'neg-right', 'happy', 'happy', 'birthday', 'great', 'day']",0.02,0.02,0.02,0.02,0.74,0.02,0.02,0.02
84,2012-12-31T04:54:03.000Z,6.096666666666668,4.753333333333333,6.013333333333334,Joy,"['love', 'beat', 'team']",0.03,0.68,0.03,0.03,0.03,0.03,0.03,0.03
86,2012-12-30T18:30:47.000Z,6.66125,4.4025,6.2225,Joy,"['kind', 'happiness', 'wonder', 'make', 'serious', 'good', 'waste', 'joke']",0.02,0.74,0.02,0.02,0.02,0.02,0.02,0.02
87,2012-12-30T07:44:41.000Z,5.42,3.964,5.28,Surprise,"['dad', 'neighbor', 'take', 'one', 'commercial', 'saw', 'tv', 'tv', 'ad', 'wife']",0.04,0.04,0.04,0.04,0.6,0.04,0.04,0.04
88,2012-12-30T03:21:06.000Z,4.338,4.8100000000000005,4.624,Surprise,"['neg-look', 'neg-happy', 'amp', 'leave', 'big']",0.06,0.06,0.06,0.06,0.48,0.06,0.06,0.06
89,2012-12-30T03:15:54.000Z,6.2,3.98,5.975,Sadness,"['need', 'help']",0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03
90,2012-12-29T15:59:47.000Z,5.4499999999999975,4.37,4.984999999999999,Sadness,"['neg-go', 'sleep']",0.61,0.04,0.04,0.04,0.04,0.04,0.04,0.04
91,2012-12-28T20:34:11.000Z,6.583333333333332,4.181666666666667,5.903333333333332,Trust,"['cute', 'style', 'bro', 'go', 'jean', 'like']",0.02,0.02,0.73,0.02,0.02,0.02,0.02,0.02
92,2012-12-28T05:11:17.000Z,5.62,4.9825,6.0225,Surprise,"['neg-way', 'right', 'gate', 'year']",0.04,0.04,0.04,0.04,0.62,0.04,0.04,0.04
93,2012-12-28T04:25:08.000Z,6.026666666666666,4.886666666666667,5.593333333333334,Surprise,"['good', 'grief', 'awesome']",0.03,0.03,0.03,0.03,0.67,0.03,0.03,0.03
94,2012-12-28T04:09:18.000Z,4.64,4.746,5.062,Surprise,"['man', 'duke', 'choke', 'bad', 'right']",0.05,0.05,0.05,0.05,0.52,0.05,0.05,0.05
96,2012-12-27T00:29:54.000Z,5.85,4.96,5.442,Surprise,"['awesome', 'idea', 'celebrity', 'fiscal', 'cliff']",0.04,0.04,0.04,0.04,0.65,0.04,0.04,0.04
97,2012-12-27T00:26:33.000Z,5.8175,4.4275,6.0975,Anger,"['shake', 'like', 'salt', 'shaker']",0.04,0.04,0.04,0.04,0.04,0.04,0.65,0.04
99,2012-12-26T07:03:59.000Z,4.37,4.9875,4.54,Fear,"['neg-freak', 'neg-cool', 'foot', 'spider']",0.06,0.06,0.06,0.49,0.06,0.06,0.06,0.06
100,2012-12-26T01:56:31.000Z,5.662222222222222,4.141111111111111,5.723333333333334,Sadness,"['hot', 'handle', 'dislike', 'heat', 'sport', 'team', 'entire', 'history', 'sport']",0.63,0.04,0.04,0.04,0.04,0.04,0.04,0.04
102,2012-12-25T15:37:05.000Z,7.17,3.62,6.94,Trust,['agree'],0.01,0.01,0.8,0.01,0.01,0.01,0.01,0.01
104,2012-12-25T02:53:27.000Z,8.37,5.9,6.14,Joy,['christmas'],-0.0,0.93,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
105,2012-12-25T02:52:29.000Z,6.025,3.92,5.54,Trust,"['saw', 'good']",0.03,0.03,0.67,0.03,0.03,0.03,0.03,0.03
106,2012-12-24T17:00:04.000Z,5.995,3.9225,5.7025000000000015,Joy,"['world', 'stable', 'whole', 'world']",0.03,0.67,0.03,0.03,0.03,0.03,0.03,0.03
107,2012-12-24T16:12:24.000Z,6.933333333333333,4.086666666666667,5.276666666666666,Joy,"['time', 'christmas', 'service']",0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02
108,2012-12-23T03:51:34.000Z,7.415,4.63,6.13,Surprise,"['nice', 'joke']",0.01,0.01,0.01,0.01,0.82,0.01,0.01,0.01
109,2012-12-22T23:10:32.000Z,4.41,6.043333333333334,3.99,Trust,"['gun', 'neg-approve', 'neg-profanity']",0.06,0.06,0.49,0.06,0.06,0.06,0.06,0.06
110,2012-12-22T04:48:35.000Z,7.115,5.07,6.095,Sadness,"['want', 'hug']",0.79,0.02,0.02,0.02,0.02,0.02,0.02,0.02
111,2012-12-21T14:50:41.000Z,5.575,4.678333333333333,5.371666666666667,Surprise,"['guess', 'learn', 'find', 'wrong', 'neg-end', 'world']",0.04,0.04,0.04,0.04,0.62,0.04,0.04,0.04
113,2012-12-21T01:08:24.000Z,5.91,4.2,5.18,Joy,['little'],0.03,0.66,0.03,0.03,0.03,0.03,0.03,0.03
114,2012-12-20T19:35:37.000Z,5.994999999999999,3.685,5.805,Joy,"['timely', 'update']",0.03,0.67,0.03,0.03,0.03,0.03,0.03,0.03
115,2012-12-20T17:01:04.000Z,6.274,4.164,6.138,Surprise,"['like', 'swift', 'turn', 'help', 'people']",0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03
116,2012-12-19T18:52:56.000Z,6.4366666666666665,3.7966666666666655,6.246666666666667,Surprise,"['lady', 'table', 'place', 'eat', 'salad', 'lady']",0.03,0.03,0.03,0.03,0.72,0.03,0.03,0.03
117,2012-12-19T14:11:28.000Z,6.576666666666667,4.636666666666667,5.933333333333334,Surprise,"['go', 'coffee', 'morning']",0.02,0.02,0.02,0.02,0.73,0.02,0.02,0.02
118,2012-12-19T11:10:21.000Z,6.732,4.244,6.074,Joy,"['alive', 'gospel', 'true', 'good', 'morning']",0.02,0.75,0.02,0.02,0.02,0.02,0.02,0.02
120,2012-12-19T00:10:12.000Z,5.908,5.224,5.5760000000000005,Surprise,"['neg-sure', 'see', 'photo', 'pay', 'money']",0.03,0.03,0.03,0.03,0.66,0.03,0.03,0.03
122,2012-12-18T05:28:43.000Z,6.5475,4.55625,6.0425,Surprise,"['life', 'pi', 'awesome', 'little', 'think', 'bit', 'clever', 'like']",0.02,0.02,0.02,0.02,0.73,0.02,0.02,0.02
123,2012-12-16T17:39:30.000Z,5.18,4.025,5.795,Sadness,"['dude', 'tough']",0.58,0.05,0.05,0.05,0.05,0.05,0.05,0.05
124,2012-12-16T00:06:04.000Z,3.95,5.48,4.08,Surprise,['hack'],0.07,0.07,0.07,0.07,0.44,0.07,0.07,0.07
125,2012-12-15T20:48:56.000Z,5.64,4.0,4.44,Trust,['job'],0.04,0.04,0.63,0.04,0.04,0.04,0.04,0.04
126,2012-12-15T17:06:20.000Z,5.826666666666666,4.09,5.663333333333332,Joy,"['bring', 'elf', 'yard']",0.04,0.65,0.04,0.04,0.04,0.04,0.04,0.04
127,2012-12-15T14:27:26.000Z,4.69,5.43,5.676666666666668,Trust,"['neg-forget', 'neg-invisible', 'neg-child']",0.05,0.05,0.52,0.05,0.05,0.05,0.05,0.05
128,2012-12-15T05:59:33.000Z,6.5,3.975,6.03,Surprise,"['sweet', 'close']",0.03,0.03,0.03,0.03,0.72,0.03,0.03,0.03
130,2012-12-15T05:56:48.000Z,5.75,4.475,5.12,Surprise,"['guy', 'move']",0.04,0.04,0.04,0.04,0.64,0.04,0.04,0.04
131,2012-12-15T02:17:29.000Z,7.37,4.265,6.165,Surprise,"['great', 'movie']",0.01,0.01,0.01,0.01,0.82,0.01,0.01,0.01
132,2012-12-14T19:43:02.000Z,7.17,3.62,6.94,Trust,['agree'],0.01,0.01,0.8,0.01,0.01,0.01,0.01,0.01
133,2012-12-14T19:04:17.000Z,6.525,4.1325,5.92,Trust,"['day', 'obvious', 'live', 'world']",0.02,0.02,0.73,0.02,0.02,0.02,0.02,0.02
134,2012-12-14T09:53:38.000Z,6.565,4.055,6.75,Trust,"['live', 'county']",0.02,0.02,0.73,0.02,0.02,0.02,0.02,0.02
135,2012-12-14T07:07:36.000Z,5.5271428571428585,4.338571428571429,5.102857142857143,Trust,"['car', 'drive', 'past', 'go', 'wrong', 'way', 'interstate']",0.04,0.04,0.61,0.04,0.04,0.04,0.04,0.04
136,2012-12-14T05:57:19.000Z,6.19875,4.5200000000000005,5.4475,Joy,"['great', 'see', 'good', 'buddy', 'time', 'go', 'shoot', 'meteor']",0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03
137,2012-12-14T05:28:39.000Z,5.530909090909091,4.004545454545455,5.348181818181818,Joy,"['wear', 'real', 'underwear', 'feel', 'sorry', 'walk', 'day', 'fisherman', 'net', 'danger', 'zone']",0.04,0.61,0.04,0.04,0.04,0.04,0.04,0.04
138,2012-12-13T15:02:20.000Z,5.45,3.86,6.27,Surprise,['point'],0.04,0.04,0.04,0.04,0.61,0.04,0.04,0.04
139,2012-12-13T06:05:08.000Z,6.986666666666667,4.783333333333333,6.276666666666666,Joy,"['fortune', 'cookie', 'dinner']",0.02,0.78,0.02,0.02,0.02,0.02,0.02,0.02
140,2012-12-12T15:08:12.000Z,5.862,4.056,5.532,Surprise,"['big', 'deal', 'parent', 'spend', 'bulk']",0.04,0.04,0.04,0.04,0.65,0.04,0.04,0.04
141,2012-12-11T04:47:04.000Z,5.512857142857144,4.481428571428571,4.981428571428571,Fear,"['verdict', 'wear', 'lucky', 'boxer', 'final', 'think', 'midterm']",0.04,0.04,0.04,0.61,0.04,0.04,0.04,0.04
142,2012-12-10T19:52:43.000Z,5.8625,4.2925,5.165,Joy,"['final', 'wear', 'lucky', 'boxer']",0.04,0.65,0.04,0.04,0.04,0.04,0.04,0.04
143,2012-12-10T06:39:48.000Z,6.736666666666666,4.29,5.601666666666668,Trust,"['neg-hate', 'go', 'live', 'marriage', 'distinct', 'probability']",0.02,0.02,0.75,0.02,0.02,0.02,0.02,0.02
144,2012-12-10T05:41:32.000Z,5.763333333333334,4.486666666666666,6.08,Surprise,"['pretty', 'sure', 'stutter']",0.04,0.04,0.04,0.04,0.64,0.04,0.04,0.04
145,2012-12-10T01:59:29.000Z,5.11,4.33,5.12,Trust,['raven'],0.05,0.05,0.57,0.05,0.05,0.05,0.05,0.05
146,2012-12-09T20:54:29.000Z,6.01,4.08,5.72,Surprise,"['go', 'version', 'morning']",0.03,0.03,0.03,0.03,0.67,0.03,0.03,0.03
147,2012-12-09T07:09:27.000Z,6.46,4.55,5.12,Surprise,['world'],0.03,0.03,0.03,0.03,0.72,0.03,0.03,0.03
148,2012-12-09T05:54:46.000Z,6.68,3.75,6.5,Trust,['think'],0.02,0.02,0.74,0.02,0.02,0.02,0.02,0.02
149,2012-12-09T05:51:29.000Z,6.09,2.67,5.56,Trust,['one'],0.03,0.03,0.68,0.03,0.03,0.03,0.03,0.03
151,2012-12-09T01:58:28.000Z,6.555,3.51,5.335,Surprise,"['short', 'like']",0.02,0.02,0.02,0.02,0.73,0.02,0.02,0.02
152,2012-12-08T23:43:40.000Z,5.59,4.3,5.325,Surprise,"['part', 'run']",0.04,0.04,0.04,0.04,0.62,0.04,0.04,0.04
153,2012-12-08T21:35:20.000Z,5.9025,3.4975,5.3425,Surprise,"['study', 'session', 'white', 'guy']",0.03,0.03,0.03,0.03,0.66,0.03,0.03,0.03
154,2012-12-08T19:33:58.000Z,6.3575,3.8125,5.445,Trust,"['get', 'play', 'coast', 'guard']",0.03,0.03,0.71,0.03,0.03,0.03,0.03,0.03
155,2012-12-08T18:50:18.000Z,3.0,4.09,4.11,Trust,['foul'],0.08,0.08,0.33,0.08,0.08,0.08,0.08,0.08
156,2012-12-08T18:16:02.000Z,4.963333333333333,4.07,4.95,Trust,"['good', 'grief', 'dunk']",0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05
158,2012-12-08T17:41:36.000Z,7.25,4.71,6.16,Joy,['wit'],0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01
160,2012-12-08T08:53:35.000Z,5.5233333333333325,4.3966666666666665,5.913333333333332,Joy,"['grad', 'school', 'hard']",0.04,0.61,0.04,0.04,0.04,0.04,0.04,0.04
161,2012-12-08T06:05:31.000Z,5.98,4.57,5.126666666666667,Trust,"['sound', 'like', 'vampire']",0.03,0.03,0.66,0.03,0.03,0.03,0.03,0.03
162,2012-12-08T03:50:38.000Z,6.655,4.42,5.69,Joy,"['love', 'west', 'coast', 'coffee']",0.02,0.74,0.02,0.02,0.02,0.02,0.02,0.02
163,2012-12-08T00:45:16.000Z,5.2725,4.815,5.0175,Surprise,"['rebellious', 'teenager', 'wear', 'wolf']",0.04,0.04,0.04,0.04,0.59,0.04,0.04,0.04
164,2012-12-08T00:43:22.000Z,5.8475,3.925,6.085,Sadness,"['say', 'need', 'update', 'hair']",0.65,0.04,0.04,0.04,0.04,0.04,0.04,0.04
165,2012-12-07T23:58:53.000Z,5.8775,4.9075,5.145,Trust,"['join', 'neg-think', 'neg-mean', 'friend']",0.04,0.04,0.65,0.04,0.04,0.04,0.04,0.04
166,2012-12-07T09:26:05.000Z,4.951428571428571,4.225714285714286,4.952857142857143,Surprise,"['think', 'weird', 'turn', 'phrase', 'neg-idea', 'neg-cook', 'gay']",0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05
167,2012-12-07T02:59:24.000Z,5.81,3.95,4.09,Surprise,['twin'],0.04,0.04,0.04,0.04,0.65,0.04,0.04,0.04
168,2012-12-07T02:51:31.000Z,4.303333333333334,5.473333333333333,4.51,Trust,"['attack', 'back', 'neg-slack']",0.06,0.06,0.48,0.06,0.06,0.06,0.06,0.06
169,2012-12-06T23:54:32.000Z,5.457999999999998,3.512,5.574,Trust,"['cap', 'one', 'bowl', 'do', 'kilt']",0.04,0.04,0.61,0.04,0.04,0.04,0.04,0.04
170,2012-12-06T17:42:39.000Z,5.743333333333332,4.42,5.82,Joy,"['look', 'like', 'hunt']",0.04,0.64,0.04,0.04,0.04,0.04,0.04,0.04
171,2012-12-06T06:19:36.000Z,7.0,5.82,6.58,Trust,['embrace'],0.02,0.02,0.78,0.02,0.02,0.02,0.02,0.02
172,2012-12-06T06:00:42.000Z,6.77,4.05,5.84,Surprise,['tip'],0.02,0.02,0.02,0.02,0.75,0.02,0.02,0.02
174,2012-12-06T01:35:51.000Z,5.815,3.72,6.125,Fear,"['know', 'remind']",0.04,0.04,0.04,0.65,0.04,0.04,0.04,0.04
175,2012-12-06T01:34:36.000Z,6.805,4.125,6.2325,Trust,"['ark', 'make', 'good', 'hire']",0.02,0.02,0.76,0.02,0.02,0.02,0.02,0.02
176,2012-12-06T01:02:21.000Z,7.39,4.3966666666666665,6.7333333333333325,Trust,"['eat', 'free', 'cool']",0.01,0.01,0.82,0.01,0.01,0.01,0.01,0.01
